state,energy[kWh/m2],energy[kWh]
"(1, 1, 1)",221.83560000000003,55915.881336000006
"(1, 1, 2)",221.9728,55950.463968000004
"(1, 1, 3)",222.09880000000004,55982.22352800001
"(1, 2, 1)",223.174,56253.23844
"(1, 2, 2)",223.3112,56287.821072000006
"(1, 2, 3)",223.43720000000002,56319.580632000005
"(1, 3, 1)",224.34160000000003,56547.54369600001
"(1, 3, 2)",224.47880000000004,56582.12632800001
"(1, 3, 3)",224.602,56613.180120000005
"(2, 1, 1)",222.4208,56063.386848
"(2, 1, 2)",222.55800000000002,56097.96948000001
"(2, 1, 3)",222.684,56129.72904
"(2, 2, 1)",223.75920000000002,56400.743952000004
"(2, 2, 2)",223.89640000000003,56435.32658400001
"(2, 2, 3)",224.02240000000003,56467.08614400001
"(2, 3, 1)",224.92680000000001,56695.049208000004
"(2, 3, 2)",225.0612,56728.926072
"(2, 3, 3)",225.18720000000002,56760.68563200001
"(3, 1, 1)",222.9556,56198.188536
"(3, 1, 2)",223.0928,56232.77116800001
"(3, 1, 3)",223.21600000000004,56263.82496000001
"(3, 2, 1)",224.294,56535.545640000004
"(3, 2, 2)",224.4284,56569.422504
"(3, 2, 3)",224.55440000000002,56601.18206400001
"(3, 3, 1)",225.45880000000002,56829.145128000004
"(3, 3, 2)",225.59320000000002,56863.02199200001
"(3, 3, 3)",225.71640000000002,56894.07578400001
